ArmCount,Biomarkers,Condition,Controls,DevStatus,DevStatusId,Drug,DrugId,EnrollmentCount,Interventions,Patients,ProtocolAcronym,ProtocolTitle,Reference,Sponsor,TrialId,TrialStartDate,TrialStatus
1,null,Ocular inflammation,null,Phase 2/Phase 3 Clinical,C23,"dexamethasone intraocular injection (controlled/sustained release/Verisome), EyePoint",65274,42,IBI-10090,42,null,Efficacy and Safety Study of IBI-10090 in Cataract Surgery Patients,C10-01; NCT01214174,Icon Bioscience Inc,70911,"OCTOBER  , 31, 2010",Terminated
1,null,Ocular inflammation,null,Phase 3 Clinical,C3,"dexamethasone intraocular injection (controlled/sustained release/Verisome), EyePoint",65274,394,Dexycu,394,null,The Efficacy and Safety of IBI-10090 for the Treatment of Inflammation Associated With Cataract Surgery,C13-04; NCT02006888,Icon Bioscience Inc,163346,"JANUARY  , 31, 2014",Completed
3,null,Asthma,null,Phase 1 Clinical,C1,"budesonide + formoterol (inhalant aerosol, chronic obstructive pulmonary disease), Pearl Therapeutics",70143,59,PT-009; PT-010; Symbicort Turbohaler,72,null,Pharmacokinetics and Safety Study of PT-010 in Healthy Subjects,NCT02189304; PT010002-00,Pearl Therapeutics Inc,204168,"JUNE     , 01, 2014",Completed
1,null,Ear disease,null,Phase 3 Clinical,C3,"dexamethasone + povidone iodine (otitis), Foresight Biotherapeutics",64095,6,FST-201,6,null,FST-201 In The Treatment of Acute Fungal Otitis Externa,FST201-AFOE-02; NCT00945646,Shire plc,59122,"JULY     , 31, 2009",Terminated
2,Glucose,Non-insulin dependent diabetes,triamcinolone acetonide injectable suspension (Kenalog),Phase 2 Clinical,C2,"triamcinolone acetonide (sustained-release, pain), Flexion",72124,33,Zilretta,33,null,Study to Assess the Effects of FX-006 on Blood Glucose in Patients With OA of the Knee and Type 2 Diabetes,FX006-2015-010; NCT02762370,Flexion Therapeutics Inc,260068,"APRIL    , 30, 2016",Completed
1,Blood pressure; Heart rate,Lateral epicondylitis,null,Phase 3 Clinical,C3,"betamethasone valerate (transdermal patch, skin diseases), Institut Biochimique",78444,200,"betamethasone valerate (transdermal patch, skin diseases), Institut Biochimique",200,null,"Multicenter, prospective, double-blind, in parallel-groups, randomized, placebo-controlled clinical trial to evaluate the short-term efficacy and safety of betamethasone valerate 2.25 mg medicated plaster in patients with chronic lateral epicondylitis (tennis elbow)",14I-BMT09; 2014-004119-35,Institut Biochimique SA,269724,"MARCH    , 03, 2015",Completed
1,null,Psoriasis,null,Phase 4 Clinical,C4,"halobetasol propionate (0.05% topical foam, plaque psoriasis), Mayne Pharma",114745,25,halobetasol propionate,25,null,Adrenal Suppression and Absorption Study of Halobetasol Propionate Foam in Subjects 12 to 17 With Plaque Psoriasis,122-0551-209; NCT03992261,Mayne Pharma Group Ltd,385266,"JUNE     , 14, 2019",Recruiting
2,Knee stiffness,Pain,triamcinolone acetonide injectable suspension,Phase 3 Clinical,C3,"triamcinolone acetonide (sustained-release, pain), Flexion",72124,484,Zilretta,484,null,Study of FX-006 for the Treatment of Pain in Patients With Osteoarthritis of the Knee,2014-005329-11; FX006-2014-008; NCT02357459,Flexion Therapeutics Inc,221476,"JANUARY  , 31, 2015",Completed
3+,Central cornea; Intraocular pressure; Macula retinae,Ocular inflammation,Moxeza; nepafenac; prednisolone acetate,Phase 4 Clinical,C4,"triamcinolone acetonide + moxifloxicin hydrochloride + vancomycin (ocular disease), Harrow Health",95157,59,TriMoxiVanc; TriMoxiVanc; nepafenac,66,null,Dropless Versus Standard Drops Contralateral Eye Study,CEP 14-002; NCT02515045,"Carolina Eyecare Physicians, LLC",236566,"JANUARY  , 31, 2015",Completed
2,hsCRP,Gout,triamcinolone acetonide,Phase 3 Clinical,C3,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,136,canakinumab,136,null,"Safety and Efficacy of Canakinumab (ACZ-885) in Patients With Frequent Flares for Whom Non-steroidal Anti-Inflammatory Drug (NSAIDs) and/or Colchicine Are Contraindicated, Not Tolerated or Ineffective",2010-024172-26; CACZ885H2358; NCT01362608,Novartis AG,77770,"JUNE     , 20, 2011",Terminated
1,GTPase KRas,Adenocarcinoma,null,Phase 2 Clinical,C2,"clobetasol propionate foam, Connetics",18168,123,clobetasol; regorafenib,123,ReDOS,Lower or Standard Dose Regorafenib in Treating Patients With Refractory Metastatic Colorectal Cancer,NCI-2015-00011; NCT02368886; P30CA015083; RU021407I; ReDOS,Academic and Community Cancer Research United,222641,"MARCH    , 27, 2015",No longer recruiting
1,Forced expiratory volume; Peak expiratory flow rate,Asthma,null,Phase 3 Clinical,C3,"ciclesonide (metered dose inhaler), Teijin/Covis/AstraZeneca",12803,1080,"ciclesonide (metered dose inhaler), Nycomed",1050,RAINBOW,A Comparative Study of Inhaled Ciclesonide Versus Placebo in Children (6 to 11 years) With Asthma,BY9010/M1-209; NCT00384189; RAINBOW; U1111-1172-2297,Takeda GmbH,22308,"SEPTEMBER, 30, 2006",Completed
3,Interleukin-13; Interleukin-17D; Protein S100-A1,Atopic dermatitis,null,Phase 1 Clinical,C1,"clobetasol propionate foam, Connetics",18168,30,"betamethasone; clobetasol propionate foam, Connetics; pimecrolimus",30,null,A Clinical Trial to Compare Topical Agents in Adults With Mild to Moderate Atopic Dermatitis (AD),EXP-1184; NCT02376049,LEO Pharma A/S,223294,"FEBRUARY , 28, 2015",Completed
2,null,Uveitis,null,Phase 3 Clinical,C3,"dexamethasone (EyeGate II ocular inflammation therapy, iontophoresis delivery), EyeGate/ Bausch Health",54573,193,"dexamethasone (EyeGate II ocular inflammation therapy, iontophoresis delivery), EyeGate; prednisolone (oral suspension, inflammation), Taro Pharmaceuticals",193,null,Safety and Efficacy Study of Iontophoretic Dexamethasone Phosphate Ophthalmic Solution to Treat Non-Infectious Anterior Segment Uveitis,EGP-437-004; NCT01505088,Eyegate Pharmaceuticals Inc,83808,"DECEMBER , 31, 2011",Completed
2+,Fovea centralis; Visual acuity,Retinal venous occlusion,Lucentis,Phase 3 Clinical,C3,"suprachoroidal triamcinolone acetonide + intravitreal aflibercept (diabetic macular edema), Clearside Biomedical",92483,460,Avastin; Lucentis; triamcinolone acetonide,460,TOPAZ,Suprachoroidal Injection of Triamcinolone Acetonide With IVT Anti-VEGF in Subjects With Macular Edema Following RVO,2017-002089-37; CLS1003-302; CTRI/2018/05/014044; NCT03203447; TOPAZ,Clearside Biomedical Inc,303712,"MARCH    , 05, 2018",Terminated
2,Forced expiratory volume,Asthma,null,Phase 2b Clinical,C2B,"beclomethasone dipropionate, (CFC-free), Teva",44414,98,"Qvar; glycopyrronium bromide (inhaled, COPD), Chiesi",98,ELITRA,Efficacy of LAMA Added to ICS in Treatment of Asthma,2014-001442-16; CCD-05993AB1-02; CCD-5993AB1-02; ELITRA; NCT02296411,Chiesi Farmaceutici SpA,216299,"NOVEMBER , 30, 2014",Completed
2+,null,Psoriasis,null,Phase 3b Clinical,C3B,"clobetasol propionate foam, Connetics",18168,592,Enbrel; Enbrel; Enbrel + Primolux; Primolux,592,null,Evaluate Efficacy and Safety of Topical Therapy and Etanercept in Subjects With Moderate to Severe Plaque Psoriasis,20080470; NCT01235442,Amgen Inc,71945,"SEPTEMBER, 30, 2010",Completed
4,null,Asthma,inhaled corticosteroids therapy; long acting beta 2-agonist therapy; long acting bronchodilator therapy,Phase 3 Clinical,C3,"fluticasone furoate + vilanterol trifenatate  (oral inhalant, asthma/COPD), GlaxoSmithKline",59060,4233,Relvar Ellipta,4233,Salford Lung Study 2,"An Effectiveness Study Comparing Fluticasone Furoate (FF, GW-685698)/Vilanterol (VI, GW-642444) With Standard Treatment in Asthma",115150; 2011-005553-31; HZA115150; NCT01706198; Salford Lung Study 2,"Glaxo Group Research Ltd, GlaxoSmithKline Research & Development Ltd, GlaxoSmithKline plc",94845,"NOVEMBER , 01, 2012",Completed
1,null,Graft versus host disease,null,Phase 3 Clinical,C3,"budesonide (gastroresistant capsule, Crohn's disease/ulcerative colitis), Dr Falk Pharma/Salix",59671,242,Budenofalk,94,null,Budesonide for Prevention of Acute Gastrointestinal GVHD Following Allogenic Stem Cell Transplantation,NCT00180089; PROGAST,Dresden University of Technology,77387,"JANUARY  , 31, 2004",Completed
2,null,Perennial allergic rhinitis,null,Phase 3 Clinical,C3,"beclomethasone dipropionate  (waterless nasal spray, allergic rhinitis), Teva",76229,107,Qnaze,25,null,Hypothalamic-Pituitary-Adrenal (HPA) Axis Study in Adult and Adolescent Subjects With Perennial Allergic Rhinitis (PAR),BDP-AR-304; NCT01133626,Teva Pharmaceutical Industries Ltd,66887,"JUNE     , 30, 2010",Completed
1,null,Asthma,null,Phase 4 Clinical,C4,"beclomethasone dipropionate, (CFC-free), Teva",44414,25,"beclomethasone dipropionate, (CFC-free), Teva",25,PVSD-ICS,The predictive value of the acute effect of beclomethasone-dipropionate on a mannitol challenge test for the outcome of longterm treatment with beclomethasone-dipropionate in childhood asthma,2016-002276-27; PVSD-ICS; PVSD-ICS,Medisch Spectrum Twente Enschede,267741,null,Recruiting
3,null,Allergic rhinitis,null,Phase 1 Clinical,C1,"fluticasone furoate + levocabastine (intranasal spray, perennial and seasonal allergic rhinitis), GlaxoSmithKline",89013,30,"fluticasone furoate (nasal, allergic rhinitis), GSK; fluticasone furoate + levocabastine; levocabastine hydrochloride",30,null,A Relative Bioavailability Study of Fluticasone Furoate and Levocabastine,200284; NCT01962467,GlaxoSmithKline plc,157921,"OCTOBER  , 31, 2013",Completed
1,Cortisol; FEV1; PEF,Asthma,null,Phase 2 Clinical,C2,"fluticasone furoate (inhaled, respiratory disorders), GlaxoSmithKline",57097,669,"fluticasone furoate (inhaled, respiratory disorders), GlaxoSmithKline",575,null,A Study of GW-685698X 100 microg Administered Once-Daily Either in the Morning or the Evening and GW-685698X 250 microg Administered Once-Daily in the Evening Via Diskhaler for 28 Days in Subjects With Persistent Bronchial Asthma,FFA20001; NCT01499446,GlaxoSmithKline plc,83590,"SEPTEMBER, 30, 2003",Completed
3,FEV1; cortisol,Asthma,fluticasone propionate,Phase 3 Clinical,C3,"ciclesonide (metered dose inhaler), Teijin/Covis/AstraZeneca",12803,750,ciclesonide,744,null,Efficacy of Ciclesonide Inhaled Once Daily Versus Fluticasone Propionate Inhaled Twice Daily in Children With Asthma (6 to 11 years),2004-000825-31; BY9010/M1-206; NCT00163462,"AstraZeneca plc, Takeda Pharmaceutical Co Ltd",22091,"OCTOBER  , 31, 2004",Completed
1,Alanine transaminase; Albumin; Alkaline phosphatase; Bilirubin; Blood platelets; Calcium; Creatine kinase; Creatinine; Gamma-glutamyltranspeptidase 1; Glucose; Leukocyte count; Phosphorus; Potassium; Sodium; Total cholesterol,Multiple myeloma,null,Phase 1/Phase 2 Clinical,C12,"dexamethasone (liposome formulation, castration resistant prostate carcinoma/multiple myeloma), Enceladus",77410,35,dexamethasone,35,AMETHYST,An Evaluation of the Safety of Oncocort IV Pegylated Liposomal Dexamethasone Phosphate in Patients With Progressive Multiple Myeloma,14-097; 2014-005137-32; AMETHYST; NCT03033316,Enceladus Pharmaceuticals,294570,"JANUARY  , 31, 2017",Recruiting
2,Forced expiratory volume in 1 s (FEV1),Asthma,null,Phase 1 Clinical,C1,"fluticasone furoate + vilanterol trifenatate  (oral inhalant, asthma/COPD), GlaxoSmithKline",59060,32,"Ellipta dry powder inhaler; fluticasone furoate + vilanterol trifenatate  (oral inhalant, asthma/COPD), GlaxoSmithKline",32,null,A Study to Assess the Bronchodilator Effect of a Single-Dose of Fluticasone Furoate (FF)/Vilanterol (VI) 100/25 microg Combination When Administered in Adult Patients With Asthma,116592; NCT01837316,GlaxoSmithKline plc,123588,"OCTOBER  , 21, 2013",Completed
1,Hydrocortisone,Rectosigmoiditis,null,Phase 3 Clinical,C3,"budesonide (rectal foam, ulcerative colitis), Dr Falk Pharma/Salix/Ajinomoto/EA Pharma/Kissei/Meda",59670,265,Rectabul,265,null,Efficacy and Safety of Budesonide Foam for Patients With Active Mild to Moderate Ulcerative Proctitis or Proctosigmoiditis,BUCF3001; NCT01008410,Bausch Health Companies Inc,62013,"NOVEMBER , 30, 2009",Completed
4,Intraocular pressure; Visual acuity,Ocular inflammation,Netildex eye drops solution; bromfenac,Phase 3 Clinical,C3,"dexamethasone + netilmicin (ophthalmic), SIFI",56575,180,Netildex; XanterGel; bromfenac,180,null,Clinical Study to Evaluate the Efficacy and Tolerability of an Anti-Inflammatory/Antibiotic Treatment Following Ocular Cataract Extraction,044-SI; 2016-002138-63; NCT02973880,SIFI Societa Industria Farmaceutica Italiana SpA,280555,"OCTOBER  , 15, 2017",Completed
1,null,Inflammatory disease,null,Phase 2 Clinical,C2,"mapracorat (ophthalmic, ocular inflammation), Bausch & Lomb",56108,415,BOL-303242X,415,null,Evaluation of BOL-303242X Versus Vehicle for the Treatment of Inflammation Following Cataract Surgery,2009-011913-26; 588; NCT00905450,Bausch & Lomb Inc,55690,"JUNE     , 30, 2009",Completed
1,null,Inflammatory disease,null,Phase 3 Clinical,C3,"difluprednate (ophthalmic emulsion, ocular inflammation/pain ), Alcon",55599,120,difluprednate,120,null,Study of Difluprednate in the Treatment of Inflammation Following Ocular Surgery (ST-601-004),NCT00616993; ST-601-004,Sirion Therapeutics Inc,22504,"JANUARY  , 31, 2008",Completed
2,FEV1,Asthma,null,Phase 2 Clinical,C2,"fluticasone furoate (inhaled, respiratory disorders), GlaxoSmithKline",57097,52,fluticasone furoate; fluticasone furoate + vilanterol,52,null,Randomized Study Comparing the Effects of Inhaled Fluticasone Furoate (FF)/Vilanterol (VI; GW-642444M) Combination and FF on an Allergen Induced Asthmatic Response,113090; NCT01128569,GlaxoSmithKline plc,66839,"JANUARY  , 31, 2010",Completed
2,Adenosine Monophosphate; Forced expiratory volume; Slow vital capacity,Asthma,Ventolin; fluticasone,Phase 3 Clinical,C3,"ciclesonide (metered dose inhaler), Teijin/Covis/AstraZeneca",12803,37,Ventolin; ciclesonide,37,null,Responsiveness of Lower Airways in Adult Patients (18 to 60 Years) With Stable Asthma After Treatment With Ciclesonide and Fluticasone Propionate,BY9010/NL-101; ISRCTN37115189; NCT00306163; NTR711,"AstraZeneca plc, Byk Nederland BV",22406,"MAY      , 31, 2006",Completed
2,null,Staphylococcus aureus infection,"clobetasol propionate foam, Connetics",Phase 2 Clinical,C2,"clobetasol propionate foam, Connetics",18168,60,"Altabax; clobetasol propionate foam, Connetics",60,null,Treatment of Staphylococcus Aureus Colonization in Hand Eczema,GCO 11-0038; NCT01591785,Mount Sinai School of Medicine,87172,"JANUARY  , 31, 2012",Completed
2,null,Osteoarthritis,triamcinolone acetonide (Kenalog-40),Phase 2b Clinical,C2B,"triamcinolone acetonide (sustained-release, pain), Flexion",72124,229,Zilretta,229,null,Study of FX-006 in Patients With Osteoarthritis of the Knee,FX006-2011-001; NCT01487161,Flexion Therapeutics Inc,83071,"JUNE     , 30, 2012",Completed
1,null,Seasonal allergic rhinitis,null,Phase 2 Clinical,C2,"beclomethasone dipropionate  (waterless nasal spray, allergic rhinitis), Teva",76229,487,Qnaze,487,null,Study to Assess the Efficacy and Safety of BDP HFA Nasal Aerosol in Patients 12 Years and Older With SAR,BDP-AR-201; NCT00854360,Teva Pharmaceutical Industries Ltd,47773,"MARCH    , 31, 2009",Completed
2,Forced expiratory volume,Chronic obstructive pulmonary disease,Fostair,Phase 2 Clinical,C2,"beclomethasone dipropionate + formoterol fumarate + CHF-5992 (inhaled, COPD), Chiesi",73605,366,Trimbow,366,TRI-D,Efficacy of Fixed Combination of Beclomethasone Dipropionate (BDP) + Formoterol Fumarate (FF) + Glycopyrronium Bromide (GB) Administered Via Dry Powder Inhaler (DPI) in Chronic Obstructive Pulmonary Disease (COPD),2017-004405-41; CLI-05993BA1-02; NCT03590379; TRI-D,Chiesi Farmaceutici SpA,346870,"JUNE     , 15, 2018",Completed
1,null,Asthma,null,Phase 1 Clinical,C1,"fluticasone furoate (inhaled, respiratory disorders), GlaxoSmithKline",57097,24,"fluticasone furoate (inhaled, respiratory disorders), GlaxoSmithKline; vilanterol",24,null,Dose Proportionality Study: Blood Levels of Fluticasone Furoate (FF) and Vilanterol (VI) Following Different Doses of FF/VI Via an Inhaler,102932; NCT01213849,GlaxoSmithKline plc,71284,"OCTOBER  , 04, 2010",Completed
2,C5a anaphylatoxin chemotactic receptor; Complement receptor type 1; Cytokines; Forced expiratory volume; Integrin alpha-IIb; Integrin alpha-M; Interleukin-1 beta; Interleukin-13; Interleukin-17A; Interleukin-8; Leukocyte elastase; Neutrophil extracellular trap; Neutrophils; Resistin,Chronic obstructive pulmonary disease,Relvar Ellipta,Phase 4 Clinical,C4,"fluticasone furoate + vilanterol trifenatate  (oral inhalant, asthma/COPD), GlaxoSmithKline",59060,80,Spiolto Respimat,80,INCOGNITO,"Investigating COPD Outcomes, Genomics and Neutrophilic Inflammation With Tiotropium and Olodaterol",2016-004473-41; 2016RC22; INCOGNITO; NCT03152149,University of Dundee,299300,"JUNE     , 01, 2017",Recruiting
1,null,Asthma,null,Phase 1 Clinical,C1,"beclomethasone dipropionate + formoterol fumarate + CHF-5992 (inhaled, COPD), Chiesi",73605,30,"99mTc; beclomethasone dipropionate + formoterol fumarate + CHF-5992 (inhaled, COPD), Chiesi",30,null,"Lung Deposition of Beclometasone Dipropionate/Formoterol Fumarate/Glycopyrronium Bromide Administered Via pMDI in Healthy, Asthmatic and COPD Patients",2016-001088-35; CCD-05993AA1-15; NCT02975843,Chiesi Farmaceutici SpA,280709,"NOVEMBER , 30, 2016",Completed
2+,Alanine transaminase; Albumin; Alkaline phosphatase; Aspartate aminotransferase; Basophils; Bilirubin; Blood platelets; Body temperature; Calcium; Chlorides; Creatinine; Diastolic blood pressure; Eosinophils; Erythrocytes; Globulins; Glucose; Hematocrit; Hemoglobin; Ketones; Leukocyte count; Lymphocytes; Mean corpuscular hemoglobin; Mean corpuscular volume; Monocytes; Neutrophils; Nitrite; PR interval; Phosphate; Potassium; QRS complex; QT interval; Respiratory frequency; Sodium; Systolic blood pressure; Total cholesterol; Total protein; Triglycerides; Urea; Uric acid; Urinary specific gravity; Urobilinogen; gamma-Glutamyltransferase,Chronic obstructive pulmonary disease,null,Phase 1 Clinical,C1,"fluticasone furoate (inhaled, respiratory disorders), GlaxoSmithKline",57097,48,batefenterol succinate; batefenterol succinate + fluticasone furoate; fluticasone furoate; fluticasone furoate + vilanterol trifenatate; fluticasone furoate + vilanterol trifenatate,48,null,"GSK-961081 Alone and With Fluticasone Furoate (FF), Phase I (PhI), Single-Dose Regimen (SD), Repeat-Dose Regimen (RD), Pharmacokinetic (PK) Study in Healthy Volunteer (HV)",201958; NCT02666287,GlaxoSmithKline plc,251911,"JANUARY  , 27, 2016",Completed
3+,Diastolic blood pressure; Forced expiratory flow ; Forced expiratory volume; Heart rate; Systolic blood pressure,Asthma,fluticasone furoate; salbutamol,Phase 2b Clinical,C2B,"fluticasone furoate (nasal, allergic rhinitis), GSK",42259,425,ELLIPTA dry powder inhaler; fluticasone furoate; salbutamol; umeclidinium bromide,425,null,Phase IIb Study of Umeclidinium (UMEC) Bromide Versus Placebo in Subjects With Asthma,2016-002843-40; 205832; NCT03012061,GlaxoSmithKline plc,284379,"JANUARY  , 25, 2017",Completed
2,null,Crohns disease,mesalazine,Phase 3 Clinical,C3,"budesonide (oral capsule/enema, Crohn's disease/microsopic colitis/ulcerative colitis), AstraZeneca/ Tillotts Pharma/ Perrigo",55981,123,budesonide,123,null,Phase III Study of D-9421-C 9 mg in Patients With Active Crohn's Disease in Japan,2014-004132-20; D9423C00001; JapicCTI-121765; NCT01514240,AstraZeneca plc,84227,"FEBRUARY , 29, 2012",Completed
1,Alanine transaminase; Albumin; Alkaline phosphatase; Aspartate aminotransferase; Basophils; Bilirubin; Blood platelets; Body temperature; Calcium; Creatinine; Diastolic blood pressure; Eosinophils; Erythrocytes; Glucose; Heart rate; Hematocrit; Hemoglobin; Leukocyte count; Lymphocytes; Mean corpuscular hemoglobin; Mean corpuscular volume; Monocytes; Neutrophils; Potassium; Respiratory frequency; Sodium; Systolic blood pressure; Total protein; Urea nitrogen; Urinary specific gravity,Allergic rhinitis,null,Phase 4 Clinical,C4,"fluticasone furoate (nasal, allergic rhinitis), GSK",42259,358,fluticasone furoate,358,null,A Study to Compare the Efficacy and Safety of Fluticasone Furoate Nasal Sprays (FFNS) 55 and 110 microg in Chinese Pediatric Subjects With Allergic Rhinitis (AR),201492; NCT02424539,GlaxoSmithKline plc,227683,"SEPTEMBER, 30, 2015",Completed
1,Eosinophils; Peak nasal inspiratory flow,Asthma,null,Phase 2 Clinical,C2,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,20,Nasacort AQ,20,NACHO,Nasal Allergen Challenge-Reproducibility of Biomarkers and Effect of Topical Steroid Treatment,DC002544/HIREB3820; NACHO; NCT03431961,Hamilton Health Sciences Corp,329091,"MARCH    , 07, 2018",Recruiting
1,null,Eosinophilic esophagitis,null,Phase 2/Phase 3 Clinical,C23,"budesonide (orodispersible tablet, eosinophilic esophagitis), Dr Falk Pharma/Salix",106967,75,Jorveza,75,null,"Double-blind (neither physician nor patient knows of the actual treatment which can be with or without active substance), randomized (patient will be allocated to a certain treatment group by chance), placebo-controlled (one of the treatment groups receives medication without active substance), phase II/III study on the efficacy and tolerability of oral budesonide suspension in comparison with placebo in children and adolescents with eosinophilic esophagitis",2017-003737-29; BUU-5/EEA; PEDEOS-1,Dr Falk Pharma GmbH,374819,null,Status not specified
1,null,Chronic obstructive pulmonary disease,null,Phase not specified,NS,"beclomethasone dipropionate, (CFC-free), Teva",44414,20,Qvar,20,null,The Effect of QVAR on Lung Functioning in Chronic Obstructive Pulmonary Disease,HS-1277; NCT00238082,National Jewish Health,3697,"NOVEMBER , 30, 1999",Terminated
3,null,Pemphigus,Dermovate; orabase,Phase 1 Clinical,C1,"clobetasol propionate foam, Connetics",18168,20,orabase; platelet rich fibrin gel,20,null,PRF in Management of Chronic Multiple Oral Ulcers,00UAD; NCT03878771,Beni-Suef University,373754,"MARCH    , 13, 2019",Not yet recruiting
3,Forced expiratory volume,Asthma,PT-008; PT007,Phase 3 Clinical,C3,"budesonide (aerosol inhalant/MDI, asthma), Pearl Therapeutics",90863,600,PT-027,600,DENALI,A Study to Assess the Efficacy and Safety of Budesonide/Albuterol Metered-dose Inhaler (BDA MDI/PT-027) Used Four Times Daily in Adults and Children 4 Years of Age or Older With Asthma,2018-003674-27; AV004; DENALI; NCT03847896,Avillion LLP,370792,"APRIL    , 10, 2019",Recruiting
4,null,Chronic obstructive pulmonary disease,Symbicort,Phase 3 Clinical,C3,"budesonide + formoterol (inhalant aerosol, chronic obstructive pulmonary disease), Pearl Therapeutics",70143,324,PT-003; PT-009; PT-010,324,null,"Study to Assess the Safety and Efficacy of PT-010, PT-003, and PT-009 in Japanese Subjects With COPD Compared With Symbicort Turbohaler",JapicCTI-184080; NCT03262012; PT010007,Pearl Therapeutics Inc,310434,"AUGUST   , 09, 2016",Completed
1,null,Macular edema,null,Phase 2 Clinical,C2,"dexamethasone (ophthalmic implant, DME), Aerie Pharmaceuticals/ Envisia",101388,40,AR-1105,40,null,Study Assessing AR-1105 in Subjects With Macular Edema Due to Retinal Vein Occlusion (RVO),AR-1105-CS201; NCT03739593,Aerie Pharmaceuticals Inc,360004,"MARCH    , 13, 2019",Recruiting
3,null,null,null,Phase 1 Clinical,C1,"dexamethasone sodium phosphate (erythrocyte encapsulated), Urbino University/EryDel",70257,18,"dexamethasone sodium phosphate (erythrocyte encapsulated), Urbino University/EryDel; dexamethasone sodium phosphate (erythrocyte encapsulated), Urbino University/EryDel (group 1B); dexamethasone sodium phosphate (erythrocyte encapsulated), Urbino University/EryDel (group 2B)",18,null,EryDex Pharmacokinetics in Healthy Volunteers,IED-PK01-2013; NCT01925859,EryDel SPA,151307,"JUNE     , 30, 2013",Completed
1,null,null,null,Phase 1 Clinical,C1,vamorolone,70712,86,vamorolone,86,null,"A Phase I, Single-Ascending Dose and Multiple-Ascending Dose Study to Evaluate the Safety, Tolerability, and Pharmacokinetics of VBP-15 in Healthy Adult Subjects",NCT02415439; VBP15-001,ReveraGen BioPharma Inc,226791,"JANUARY  , 31, 2015",Completed
1,null,null,null,Phase 1 Clinical,C1,"mapracorat (ophthalmic, ocular inflammation), Bausch & Lomb",56108,61,"mapracorat (ophthalmic, ocular inflammation), Bausch & Lomb",61,null,"Corneal Endothelial Cell Density Changes, When Mapracorat Ophthalmic Suspension 3%, is Administered for 14 Days",794; NCT01736462,Bausch & Lomb Inc,99986,"FEBRUARY , 28, 2013",Completed
2,null,null,Pulmicort Flexhaler,Phase 1 Clinical,C1,"budesonide + salbutamol (asthma), Pearl/ Avillion",109733,66,PT-027,66,ELBRUS,A Study to Compare the Pharmacokinetics of Budesonide Delivered by PT-027 Compared With Pulmicort Flexhaler,D6930C00011; ELBRUS; NCT03934333,AstraZeneca plc,379001,"MAY      , 16, 2019",Recruiting
2,null,null,Rectabul,Phase 1 Clinical,C1,"budesonide (oral capsule/enema, Crohn's disease/microsopic colitis/ulcerative colitis), AstraZeneca/ Tillotts Pharma/ Perrigo",55981,null,budesonide,null,null,Bioequivalence Study of Budesonide Rectal Aerosol Foam and Uceris Rectal Aerosol Foam,NCT02800824; PRG-NY-16-007,Perrigo Co Ltd,263269,null,Completed
3,null,Allergic rhinitis,null,Phase 2 Clinical,C2,"fluticasone furoate (nasal, allergic rhinitis), GSK",42259,71,"fluticasone furoate (nasal, allergic rhinitis), GSK; fluticasone furoate + levocabastine (intranasal spray, perennial and seasonal allergic rhinitis); levocabastine hydrochloride",71,null,A Proof of Concept Study to Assess Effect of Fluticasone Furoate (FF)/Levocabastine Fixed Dose Combination (FDC) Compared With Levocabastine and FF Alone in Subjects With Allergic Rhinitis (AR),200286; NCT01957202,GlaxoSmithKline plc,157076,"OCTOBER  , 31, 2013",Completed
2,Forced expiratory volume; Peak expiratory flow rate,Asthma,null,Phase 3 Clinical,C3,"salmeterol xinafoate + fluticasone propionate (inhaled/Spiromax, asthma), Teva",95991,882,"fluticasone propionate; salmeterol xinafoate + fluticasone propionate (inhaled/Spiromax, asthma), Teva",1661,null,Efficacy and Safety Study of FP MDPI Compared With FS MDPI in Adolescent and Adult Patients With Persistent Asthma,2014-000923-25; FSS-AS-30017; NCT02141854,Teva Pharmaceutical Industries Ltd,189017,"MAY      , 31, 2014",Completed
3,FEF25; FEF25-75; FEF50; FEF75; FEV1; FEV1/FVC; FVC/SVC; PEF,Asthma,Clenil (Chiesi); Flixotide,Phase 4 Clinical,C4,"beclomethasone dipropionate, (CFC-free), Teva",44414,40,QVAR,43,OLiVIA,Effects of QVAR in Smokers With Asthma,2012-005350-39; 20122011; NCT01741285; OLiVIA,University Medical Center Groningen,100542,"APRIL    , 30, 2013",Completed
1,null,Macular edema,null,Phase 2 Clinical,C2,"triamcinolone acetonide (nasal spray, allergic rhinitis), Sanofi",12937,60,triamcinolone acetonide,60,null,PST/Laser versus Laser Alone for CSME,NCT00229918; PST/CSME,Edward Hines Jr. VA Hospital,100166,"SEPTEMBER, 30, 2005",Recruiting
3,null,Blepharoconjunctivitis,AzaSite; dexamethasone,Phase 3 Clinical,C3,"azithromycin + dexamethasone (sustained release, DuraSite), InSite",55854,417,AzaSite Plus,417,null,Comparative Study of AzaSite Plus Compared to AzaSite Alone and Dexamethasone Alone to Treat Subjects With Blepharoconjunctivitis,C-07-502-002; NCT00578955,InSite Vision Inc,10106,"DECEMBER , 31, 2007",Completed
